image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score,f1_otm,f1_gmns,f1_hdbscan
Image_3342,384,24,3,72,112,92,3.12,68,1.56,2,0.14,0.53,0.923,0.923,0.909
Image_3341,384,24,3,52,57,54,2.28,30,1.1,11,0.43,0.2,0.82,0.82,0.957
Image_3339,384,24,3,67,94,80,5.02,56,1.4,16,1.68,0.25,0.529,0.529,0.81
Image_3329,384,24,3,15,10,12,2.06,12,1.5,83,0.32,0.71,0.8,0.272,0.088
Image_3310,384,24,3,40,50,45,1.94,21,1.25,0,0.0,0.3,1.0,1.0,0.475
Image_3309,384,24,3,49,80,64,4.99,40,1.63,0,0.0,0.35,1.0,0.968,0.4
Image_3284,384,24,3,80,92,86,18.34,62,1.15,13,0.44,0.56,0.711,0.711,0.579
Image_3283,384,24,3,31,32,32,9.74,8,1.03,1,0.03,0.45,0.914,0.864,0.754
Image_3282,384,24,3,57,63,60,10.84,36,1.11,12,0.28,0.45,0.838,0.838,0.524
Image_3281,384,24,3,90,57,74,14.73,50,1.58,8,1.07,0.3,0.604,0.636,0.636
Image_3279,384,24,3,44,59,52,7.88,28,1.34,1,0.04,0.38,0.932,0.796,0.586
Image_3278,384,24,3,55,41,48,4.52,24,1.34,24,0.44,0.61,0.714,0.714,0.211
Image_3275,384,24,3,80,72,76,5.56,52,1.11,13,0.51,0.59,0.649,0.649,0.364
Image_3271,384,24,3,96,102,99,12.29,75,1.06,35,0.62,0.69,0.545,0.545,0.174
Image_3270,384,24,3,68,80,74,7.03,50,1.18,5,0.2,0.43,0.884,0.884,0.273
Image_3268,384,24,3,68,77,72,11.06,48,1.13,7,0.26,0.55,0.844,0.844,0.643
Image_3160,384,24,3,89,93,91,7.13,67,1.04,0,0.0,0.59,0.96,0.917,0.471
Image_2956,384,24,3,81,46,64,12.53,40,1.76,0,0.0,0.51,0.837,0.958,0.958
Image_2955,384,24,3,39,31,35,3.12,11,1.26,24,0.29,0.46,0.852,0.866,0.037
Image_2954,384,24,3,47,78,62,0.88,38,1.66,20,0.34,0.58,0.711,0.739,0.19
Image_2952,384,24,3,28,59,44,3.1,20,2.11,2,0.03,0.43,0.97,0.97,0.237
Image_2951,384,24,3,39,68,54,1.05,30,1.74,1,0.06,0.46,0.929,0.8,0.526
Image_2949,384,24,3,87,37,62,2.86,38,2.35,5,0.17,0.51,0.84,0.906,0.588
Image_2948,384,24,3,80,78,79,3.24,55,1.03,7,1.56,0.44,0.533,0.533,0.533
Image_2947,384,24,3,51,60,56,1.97,32,1.18,1,0.03,0.39,0.972,0.958,0.286
Image_2946,384,24,3,72,63,68,12.06,44,1.14,4,0.47,0.42,0.8,0.8,0.909
Image_2945,384,24,3,75,52,64,1.33,40,1.44,1,0.06,0.52,0.966,0.966,0.923
Image_2944,384,24,3,37,59,48,7.86,24,1.59,2,0.03,0.41,0.88,0.939,0.381
Image_2943,384,24,3,58,60,59,1.65,35,1.03,2,0.06,0.46,0.912,0.967,0.474
Image_2942,384,24,3,48,48,48,1.03,24,1.0,6,0.31,0.32,0.843,0.843,0.649
Image_2941,384,24,3,86,82,84,10.9,60,1.05,3,0.15,0.69,0.75,0.857,0.692
Image_2939,384,24,3,24,32,28,4.29,4,1.33,27,1.06,0.38,0.632,0.649,0.417
Image_2938,384,24,3,79,68,74,15.61,50,1.16,2,0.27,0.62,0.875,0.875,0.875
Image_2937,384,24,3,44,44,44,12.12,20,1.0,37,0.89,0.35,0.683,0.689,0.207
Image_2936,384,24,3,84,54,69,12.91,45,1.56,2,0.09,0.44,0.909,0.932,0.955
Image_2935,384,24,3,83,41,62,2.41,38,2.02,7,1.08,0.36,0.632,0.632,0.762
Image_2933,384,24,3,53,36,44,10.11,20,1.47,6,0.12,0.49,0.891,0.938,0.475
Image_2932,384,24,3,94,54,74,11.58,50,1.74,5,0.16,0.49,0.868,0.909,0.718
Image_2931,384,24,3,59,49,54,26.1,30,1.2,11,0.2,0.51,0.826,0.887,0.208
Image_2930,384,24,3,35,46,40,4.48,16,1.31,8,0.15,0.48,0.92,0.92,0.378
Image_2929,384,24,3,37,35,36,2.45,12,1.06,23,0.42,0.51,0.818,0.824,0.075
Image_2927,384,24,3,30,46,38,4.29,14,1.53,5,0.09,0.49,0.773,0.875,0.384
Image_2926,384,24,3,94,53,74,6.51,50,1.77,12,0.33,0.51,0.8,0.8,0.884
Image_2924,384,24,3,47,45,46,2.54,22,1.04,1,0.02,0.43,0.889,0.952,0.105
Image_2923,384,24,3,53,34,44,8.82,20,1.56,53,1.58,0.34,0.555,0.555,0.297
Image_2922,384,24,3,75,66,70,14.52,46,1.14,3,0.18,0.34,0.914,0.914,0.944
Image_2921,384,24,3,67,55,61,12.4,37,1.22,6,0.18,0.44,0.9,0.9,0.851
Image_2920,384,24,3,40,79,60,10.44,36,1.98,6,0.31,0.71,0.774,0.643,0.48
Image_2918,384,24,3,47,49,48,1.7,24,1.04,19,0.43,0.57,0.725,0.725,0.449
Image_2916,384,24,3,17,18,18,2.78,6,1.06,94,0.87,0.52,0.695,0.68,0.028
Image_2915,384,24,3,45,48,46,3.97,22,1.07,3,0.05,0.47,0.875,0.895,0.149
Image_2914,384,24,3,33,76,54,3.09,30,2.3,4,0.16,0.33,0.886,0.905,0.4
Image_2913,384,24,3,69,72,70,7.9,46,1.04,11,2.44,0.59,0.421,0.421,0.636
Image_2912,384,24,3,34,36,35,1.03,11,1.06,4,0.05,0.5,0.906,0.937,0.154
Image_2910,384,24,3,49,177,113,1.35,89,3.61,6,0.29,0.68,0.824,0.824,0.364
Image_2908,384,24,3,44,53,48,4.41,24,1.2,1,0.03,0.39,0.953,0.985,0.778
Image_2248,384,24,3,38,56,47,2.96,23,1.47,24,0.31,0.52,0.815,0.815,0.073
Image_2225,384,24,3,94,109,102,13.89,78,1.16,2,0.09,0.57,0.923,0.923,0.48
Image_2209,384,24,3,100,148,124,8.56,100,1.48,1,0.1,0.76,0.723,0.952,0.429
Image_2203,384,24,3,64,100,82,8.41,58,1.56,2,0.1,0.43,0.929,0.952,0.464
Image_2195,384,24,3,122,115,118,8.88,94,1.06,2,0.17,0.75,0.917,0.876,0.471
Image_2177,384,24,3,79,128,104,7.82,80,1.62,2,0.07,0.53,0.863,0.885,0.5
Image_2165,384,24,3,81,104,92,3.98,68,1.28,18,0.42,0.58,0.708,0.727,0.154
Image_2155,384,24,3,101,95,98,3.77,74,1.06,7,0.27,0.66,0.837,0.837,0.286
Image_2152,384,24,3,72,127,100,26.52,76,1.76,3,0.12,0.47,0.913,0.913,0.536
Image_2142,384,24,3,76,87,82,15.41,58,1.14,13,0.27,0.53,0.843,0.843,0.108
Image_2141,384,24,3,83,109,96,7.47,72,1.31,0,0.0,0.55,1.0,0.706,0.308
Image_2138,384,24,3,53,83,68,7.41,44,1.57,6,0.26,0.4,0.867,0.867,0.499
Image_2140,384,24,3,77,73,75,17.72,51,1.05,4,0.16,0.51,0.913,0.913,0.385
Image_2051,384,24,3,102,56,79,9.09,55,1.82,8,0.34,0.7,0.789,0.789,0.235
Image_2036,384,24,3,76,51,64,4.55,40,1.49,3,0.1,0.77,0.846,0.824,0.685
Image_2035,384,24,3,108,40,74,5.26,50,2.7,20,0.41,0.8,0.685,0.72,0.462
Image_2026,384,24,3,83,58,70,4.52,46,1.43,3,0.15,0.86,0.914,0.914,0.769
Image_2019,384,24,3,119,81,100,5.13,76,1.47,16,0.52,0.84,0.636,0.636,0.444
Image_2018,384,24,3,34,73,54,4.33,30,2.15,19,0.22,0.67,0.766,0.848,0.207
Image_2011,384,24,3,55,35,45,2.34,21,1.57,61,0.43,0.66,0.721,0.721,0.048
Image_2009,384,24,3,29,22,26,0.94,2,1.32,200,0.5,0.74,0.664,0.664,0.02
Image_2008,384,24,3,51,46,48,2.13,24,1.11,46,0.52,0.77,0.646,0.646,0.133
Image_2007,384,24,3,41,36,38,13.34,14,1.14,24,0.18,0.65,0.761,0.725,0.088
Image_2005,384,24,3,31,24,28,0.47,4,1.29,133,0.49,0.75,0.678,0.678,0.042
Image_2004,384,24,3,35,22,28,1.89,4,1.59,218,0.49,0.73,0.675,0.675,0.018
Image_1493,384,24,3,17,28,22,1.32,2,1.65,51,3.09,0.37,0.381,0.369,0.079
Image_1463,384,24,3,31,37,34,6.78,10,1.19,9,0.17,0.35,0.919,0.911,0.095
Image_1461,384,24,3,15,23,19,1.67,5,1.53,74,2.9,0.47,0.392,0.384,0.089
