image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score,f1_otm,f1_gmns,f1_hdbscan
Image_1456,384,24,3,15,21,18,2.32,6,1.4,49,0.36,0.54,0.737,0.819,0.04
Image_1130,384,24,3,15,10,12,1.7,12,1.5,27,0.78,0.94,0.233,0.194,0.0
Image_1106,384,24,3,31,28,30,5.92,6,1.11,3,0.06,0.6,0.594,0.574,0.229
Image_998,384,24,3,34,42,38,2.51,14,1.24,1,0.04,0.6,0.837,0.649,0.492
Image_996,384,24,3,59,78,68,8.63,44,1.32,7,0.61,0.55,0.759,0.759,0.909
Image_993,384,24,3,59,75,67,11.75,43,1.27,2,0.13,0.37,0.938,0.938,0.97
Image_991,384,24,3,18,29,24,1.05,0,1.61,20,0.18,0.68,0.744,0.765,0.041
Image_990,384,24,3,19,27,23,0.94,1,1.42,0,0.0,0.66,0.717,0.702,0.085
Image_989,384,24,3,27,82,54,8.61,30,3.04,65,0.48,0.63,0.667,0.66,0.056
Image_988,384,24,3,57,114,86,2.34,62,2.0,7,0.36,0.55,0.774,0.774,0.548
Image_985,384,24,3,30,46,38,6.6,14,1.53,22,0.29,0.68,0.76,0.739,0.07
Image_907,384,24,3,48,125,86,11.0,62,2.6,33,0.53,0.69,0.622,0.637,0.129
Image_906,384,24,3,13,28,20,3.02,4,2.15,154,1.89,0.52,0.48,0.495,0.054
Image_701,384,24,3,40,73,56,2.83,32,1.82,25,0.29,0.52,0.819,0.819,0.065
Image_693,384,24,3,61,84,72,2.03,48,1.38,8,0.31,0.54,0.81,0.81,0.496
Image_680,384,24,3,53,145,99,4.26,75,2.74,2,0.14,0.56,0.923,0.923,1.0
Image_349,384,24,3,51,100,76,2.28,52,1.96,28,0.41,0.61,0.736,0.724,0.098
Image_342,384,24,3,49,64,56,21.39,32,1.31,22,0.26,0.6,0.819,0.836,0.062
Image_336,384,24,3,35,45,40,4.14,16,1.29,145,0.9,0.94,0.181,0.181,0.0
Image_330,384,24,3,84,111,98,8.1,74,1.32,52,0.67,0.75,0.49,0.49,0.214
Image_317,384,24,3,16,25,20,3.57,4,1.56,1,0.07,0.61,0.682,0.682,0.426
Image_313,384,24,3,83,125,104,10.78,80,1.51,42,0.64,0.7,0.523,0.523,0.16
Image_293,384,24,3,45,72,58,6.54,34,1.6,38,0.48,0.58,0.683,0.683,0.178
Image_291,384,24,3,54,99,76,11.11,52,1.83,4,0.38,0.51,0.796,0.796,0.933
Image_286,384,24,3,53,87,70,13.14,46,1.64,11,0.51,0.67,0.645,0.645,0.316
Image_2,384,24,3,50,82,66,1.94,42,1.64,2,0.19,0.59,0.889,0.824,0.769
Image_7645,384,32,3,43,145,94,5.91,62,3.37,6,0.29,0.71,0.571,0.519,0.448
Image_7095,384,32,3,35,116,76,3.4,44,3.31,0,0.0,0.44,0.78,0.734,0.178
Image_7661,384,32,3,30,41,36,3.7,4,1.37,8,0.18,0.41,0.9,0.872,0.29
Image_7662,384,32,3,47,35,41,3.97,9,1.34,3,0.09,0.39,0.952,0.935,0.182
Image_6661,384,32,3,11,12,12,0.71,20,1.09,1,0.0,0.7,0.774,0.745,0.052
Image_6660,384,32,3,279,30,154,2.16,122,9.3,1,0.11,0.97,0.0,0.0,0.08
Image_6659,384,32,3,40,323,182,2.49,150,8.07,5,1.11,1.11,0.32,0.0,0.0
Image_6658,384,32,3,15,9,12,1.7,20,1.67,79,0.18,0.66,0.85,0.391,0.0
Image_6657,384,32,3,25,25,25,7.83,7,1.0,33,0.36,0.41,0.825,0.793,0.394
Image_6656,384,32,3,29,30,30,2.13,2,1.03,8,0.09,0.33,0.958,0.953,0.113
Image_6655,384,32,3,9,73,41,1.47,9,8.11,99,0.7,0.47,0.356,0.408,0.0
Image_6653,384,32,3,17,21,19,1.48,13,1.24,89,0.22,0.57,0.874,0.866,0.03
Image_6652,384,32,3,41,79,60,1.73,28,1.93,9,0.21,0.41,0.833,0.88,0.552
Image_6651,384,32,3,40,151,96,5.4,64,3.77,9,0.86,0.79,0.513,0.29,0.399
Image_6650,384,32,3,75,90,82,4.31,50,1.2,9,0.78,0.34,0.71,0.71,0.75
Image_6649,384,32,3,17,46,32,18.54,0,2.71,8,0.08,0.37,0.791,0.735,0.036
Image_6648,384,32,3,20,19,20,1.09,12,1.05,6,0.11,0.66,0.8,0.863,0.041
Image_6645,384,32,3,34,32,33,2.78,1,1.06,5,0.12,0.41,0.935,0.935,0.2
Image_6644,384,32,3,6,12,9,0.71,23,2.0,13,0.03,0.78,0.604,0.496,0.044
Image_5944,384,32,3,40,57,48,2.85,16,1.43,3,0.24,0.32,0.889,0.774,0.235
Image_5940,384,32,3,78,79,78,13.21,46,1.01,8,0.41,0.34,0.808,0.808,0.2
Image_5939,384,32,3,83,133,108,18.67,76,1.6,4,0.89,0.57,0.667,0.6,0.857
Image_5938,384,32,3,57,88,72,6.97,40,1.54,5,0.14,0.48,0.892,0.892,0.278
Image_5936,384,32,3,54,69,62,2.19,30,1.28,2,0.1,0.3,0.947,0.947,0.615
Image_5934,384,32,3,61,84,72,7.26,40,1.38,11,0.39,0.54,0.727,0.756,0.59
Image_5933,384,32,3,79,44,62,6.98,30,1.8,6,0.32,0.55,0.8,0.714,0.0
Image_5932,384,32,3,99,64,82,4.21,50,1.55,1,0.05,0.39,0.976,0.923,0.919
Image_5931,384,32,3,86,137,112,8.67,80,1.59,7,2.8,0.95,0.364,0.364,0.875
Image_5930,384,32,3,65,71,68,2.72,36,1.09,7,0.33,0.58,0.765,0.8,0.691
Image_5929,384,32,3,32,57,44,3.11,12,1.78,10,0.15,0.3,0.93,0.93,0.23
Image_5926,384,32,3,42,73,58,1.05,26,1.74,2,0.16,0.47,0.909,0.909,0.667
Image_5925,384,32,3,138,98,118,19.77,86,1.41,1,0.05,0.5,0.977,0.929,0.37
Image_5924,384,32,3,101,103,102,6.4,70,1.02,8,0.94,0.41,0.667,0.667,0.545
Image_5923,384,32,3,81,68,74,3.3,42,1.19,9,0.4,0.57,0.743,0.743,0.857
Image_5922,384,32,3,26,36,31,0.94,1,1.38,16,0.31,0.6,0.786,0.8,0.167
Image_5921,384,32,3,51,76,64,1.82,32,1.49,0,0.0,0.37,0.929,0.947,0.125
Image_5918,384,32,3,72,53,62,3.25,30,1.36,0,0.0,0.46,0.957,0.909,0.638
Image_5917,384,32,3,53,74,64,1.57,32,1.4,4,0.24,0.56,0.857,0.857,0.625
Image_5915,384,32,3,49,56,52,2.87,20,1.14,3,0.19,0.41,0.889,0.889,0.23
Image_5602,384,32,3,54,74,64,1.57,32,1.37,5,0.19,0.44,0.87,0.87,0.755
Image_5601,384,32,3,54,74,64,1.67,32,1.37,7,0.24,0.53,0.863,0.84,0.853
Image_5600,384,32,3,21,24,22,1.05,10,1.14,17,0.1,0.46,0.926,0.897,0.026
Image_5598,384,32,3,58,79,68,1.71,36,1.36,9,0.28,0.5,0.836,0.815,0.536
Image_5596,384,32,3,35,49,42,4.73,10,1.4,3,0.08,0.4,0.961,0.948,0.261
Image_5595,384,32,3,69,92,80,4.59,48,1.33,7,0.82,0.47,0.696,0.696,0.889
Image_5594,384,32,3,60,77,68,2.89,36,1.28,9,0.37,0.65,0.737,0.703,0.565
Image_5593,384,32,3,49,65,57,3.83,25,1.33,9,0.28,0.52,0.836,0.815,0.831
Image_5592,384,32,3,37,21,29,1.18,3,1.76,14,0.13,0.42,0.93,0.919,0.021
Image_5591,384,32,3,65,47,56,2.98,24,1.38,6,0.16,0.41,0.914,0.914,0.222
Image_5590,384,32,3,74,102,88,7.77,56,1.38,1,0.06,0.33,0.939,0.835,0.836
Image_5588,384,32,3,36,42,39,2.51,7,1.17,0,0.0,0.37,0.979,0.946,0.25
Image_5587,384,32,3,57,72,64,2.1,32,1.26,7,0.3,0.53,0.789,0.722,0.741
Image_5585,384,32,3,44,59,52,3.3,20,1.34,9,0.22,0.44,0.877,0.861,0.422
Image_5584,384,32,3,37,27,32,3.11,0,1.37,14,0.21,0.44,0.879,0.85,0.407
Image_5583,384,32,3,52,68,60,2.11,28,1.31,1,0.07,0.36,0.96,0.96,0.957
Image_5582,384,32,3,37,38,38,2.05,6,1.03,17,0.56,0.22,0.779,0.769,0.484
Image_5581,384,32,3,72,101,86,4.3,54,1.4,3,0.55,0.58,0.769,0.769,0.933
Image_5580,384,32,3,42,48,45,1.94,13,1.14,4,0.09,0.51,0.93,0.955,0.353
Image_5576,384,32,3,44,48,46,4.38,14,1.09,6,0.08,0.54,0.926,0.934,0.162
Image_5575,384,32,3,69,73,71,3.01,39,1.06,5,0.67,0.41,0.737,0.737,0.857
Image_5574,384,32,3,20,21,20,1.09,12,1.05,32,0.26,0.52,0.849,0.833,0.174
Image_5573,384,32,3,42,43,42,2.25,10,1.02,0,0.0,0.28,0.96,0.87,0.267
Image_5572,384,32,3,60,96,78,7.49,46,1.6,8,5.33,0.69,0.2,0.2,0.5
Image_5571,384,32,3,51,65,58,1.59,26,1.27,1,0.05,0.4,0.95,0.895,0.889
Image_5568,384,32,3,38,49,44,9.86,12,1.29,2,0.07,0.37,0.913,0.894,0.433
Image_5567,384,32,3,45,41,43,6.13,11,1.1,2,0.04,0.38,0.961,0.981,0.075
Image_5566,384,32,3,60,74,67,9.57,35,1.23,7,0.26,0.26,0.881,0.881,0.8
Image_5563,384,32,3,17,12,14,2.03,18,1.42,55,0.22,0.68,0.873,0.87,0.066
Image_5390,384,32,3,84,53,68,10.3,36,1.58,6,0.71,0.33,0.727,0.727,0.444
Image_5386,384,32,3,51,77,64,1.97,32,1.51,2,0.16,0.36,0.923,0.923,0.88
Image_5382,384,32,3,48,65,56,2.34,24,1.35,1,0.12,0.5,0.734,0.64,0.577
Image_5380,384,32,3,94,76,85,6.04,53,1.24,7,2.8,0.44,0.364,0.364,0.941
Image_5378,384,32,3,76,73,74,2.42,42,1.04,5,0.77,0.55,0.706,0.706,0.533
Image_5376,384,32,3,100,77,88,6.25,56,1.3,10,2.86,0.64,0.343,0.343,0.818
Image_5375,384,32,3,100,79,90,7.9,58,1.27,1,0.05,0.41,0.944,0.973,0.714
Image_5372,384,32,3,57,47,52,5.72,20,1.21,3,0.11,0.41,0.949,0.949,0.984
Image_5371,384,32,3,53,52,52,3.28,20,1.02,4,0.1,0.3,0.952,0.952,0.646
Image_5369,384,32,3,42,50,46,5.72,14,1.19,7,0.36,0.35,0.844,0.844,0.471
Image_5368,384,32,3,26,24,25,1.72,7,1.08,1,0.01,0.47,0.952,0.915,0.025
Image_5367,384,32,3,19,31,25,0.47,7,1.63,14,0.09,0.45,0.907,0.928,0.026
Image_5366,384,32,3,26,37,32,1.56,0,1.42,7,0.11,0.42,0.942,0.781,0.349
Image_5364,384,32,3,49,56,52,2.57,20,1.14,6,0.2,0.4,0.885,0.863,0.789
Image_5363,384,32,3,31,40,36,3.71,4,1.29,5,0.16,0.33,0.923,0.909,0.108
Image_5361,384,32,3,29,43,36,4.15,4,1.48,6,0.28,0.36,0.875,0.875,0.138
Image_5360,384,32,3,29,40,34,2.55,2,1.38,8,0.11,0.37,0.942,0.942,0.194
Image_5359,384,32,3,17,24,20,0.64,12,1.41,9,0.21,0.51,0.88,0.88,0.059
Image_5358,384,32,3,55,73,64,3.13,32,1.33,7,0.22,0.45,0.877,0.877,0.571
Image_5149,384,32,3,25,32,28,2.16,4,1.28,12,0.12,0.51,0.915,0.915,0.035
Image_5143,384,32,3,23,45,34,8.85,2,1.96,16,0.2,0.59,0.863,0.855,0.062
Image_5142,384,32,3,22,29,26,3.27,6,1.32,8,0.04,0.52,0.896,0.911,0.02
Image_4970,384,32,3,35,46,40,1.87,8,1.31,8,0.22,0.42,0.9,0.865,0.429
Image_4969,384,32,3,38,28,33,5.18,1,1.36,17,0.13,0.41,0.885,0.885,0.131
Image_4967,384,32,3,65,99,82,3.4,50,1.52,5,0.2,0.58,0.8,0.829,0.348
Image_4966,384,32,3,60,83,72,6.22,40,1.38,22,0.9,0.26,0.686,0.686,0.441
Image_4965,384,32,3,75,120,98,17.03,66,1.6,9,1.38,0.55,0.571,0.571,0.636
Image_4964,384,32,3,41,55,48,8.38,16,1.34,7,0.12,0.32,0.916,0.916,0.328
Image_4963,384,32,3,19,31,25,2.49,7,1.63,45,0.17,0.51,0.89,0.89,0.018
Image_4962,384,32,3,37,41,39,5.26,7,1.11,11,0.27,0.44,0.845,0.758,0.358
Image_4961,384,32,3,10,17,14,1.97,18,1.7,85,0.19,0.67,0.83,0.805,0.037
Image_4960,384,32,3,59,84,72,19.51,40,1.42,7,0.31,0.36,0.808,0.863,0.799
Image_4959,384,32,3,38,62,50,1.65,18,1.63,4,0.15,0.37,0.88,0.842,0.46
Image_4958,384,32,3,44,60,52,11.44,20,1.36,24,0.17,0.43,0.891,0.891,0.033
Image_4957,384,32,3,26,35,30,9.81,2,1.35,1,0.01,0.42,0.832,0.874,0.059
Image_4956,384,32,3,27,45,36,7.56,4,1.67,6,0.06,0.48,0.892,0.869,0.144
Image_4955,384,32,3,35,46,40,9.02,8,1.31,3,0.02,0.34,0.916,0.87,0.027
Image_4954,384,32,3,43,66,54,9.37,22,1.53,11,0.59,0.46,0.749,0.749,0.718
Image_4953,384,32,3,30,52,41,7.53,9,1.73,5,0.09,0.41,0.923,0.923,0.294
Image_4952,384,32,3,19,23,21,3.12,11,1.21,36,0.13,0.5,0.905,0.89,0.016
Image_4951,384,32,3,22,19,20,3.11,12,1.16,42,0.2,0.63,0.87,0.844,0.012
Image_4950,384,32,3,41,54,48,11.93,16,1.32,3,0.08,0.43,0.892,0.941,0.521
Image_4949,384,32,3,24,35,30,3.76,2,1.46,10,0.09,0.51,0.865,0.859,0.021
Image_4948,384,32,3,81,140,110,17.37,78,1.73,16,6.4,0.66,0.2,0.182,0.412
Image_4947,384,32,3,20,35,28,3.65,4,1.75,58,0.22,0.48,0.864,0.869,0.019
Image_4946,384,32,3,40,56,48,12.03,16,1.4,4,0.06,0.36,0.919,0.895,0.358
Image_4945,384,32,3,33,44,38,1.26,6,1.33,2,0.05,0.4,0.924,0.708,0.352
Image_4944,384,32,3,24,32,28,4.51,4,1.33,13,0.21,0.52,0.883,0.841,0.103
Image_4943,384,32,3,42,64,53,2.46,21,1.52,7,0.1,0.43,0.892,0.909,0.088
Image_4942,384,32,3,49,78,64,2.21,32,1.59,8,0.16,0.38,0.905,0.886,0.25
Image_4941,384,32,3,31,42,36,3.71,4,1.35,13,0.07,0.34,0.938,0.901,0.034
Image_4940,384,32,3,53,98,76,5.22,44,1.85,2,0.07,0.36,0.858,0.878,0.76
Image_4939,384,32,3,70,95,82,16.33,50,1.36,7,0.52,0.42,0.788,0.763,0.75
Image_4938,384,32,3,26,51,38,9.32,6,1.96,7,0.14,0.42,0.881,0.871,0.424
Image_4933,384,32,3,77,59,68,8.67,36,1.31,6,0.12,0.39,0.903,0.903,0.071
Image_4924,384,32,3,36,59,48,4.56,16,1.64,1,0.02,0.46,0.837,0.837,0.405
Image_4923,384,32,3,39,59,49,4.47,17,1.51,7,0.29,0.39,0.873,0.873,0.808
Image_4908,384,32,3,42,74,58,7.45,26,1.76,9,0.58,0.31,0.769,0.769,0.84
Image_4904,384,32,3,60,86,73,9.72,41,1.43,10,6.67,0.29,0.167,0.167,0.842
Image_4903,384,32,3,56,73,64,3.09,32,1.3,0,0.0,0.39,1.0,0.839,0.2
Image_4885,384,32,3,51,41,46,6.71,14,1.24,1,0.08,0.76,0.286,0.154,0.533
Image_4875,384,32,3,57,74,66,4.85,34,1.3,6,0.13,0.54,0.892,0.892,0.14
Image_4874,384,32,3,43,66,54,5.17,22,1.53,4,0.06,0.41,0.884,0.892,0.162
Image_4502,384,32,3,23,312,168,3.28,136,13.57,9,0.72,0.59,0.421,0.258,0.148
Image_4501,384,32,3,20,321,170,5.21,138,16.05,7,0.61,0.69,0.158,0.158,0.205
Image_4500,384,32,3,44,351,198,8.12,166,7.98,4,0.89,0.86,0.0,0.0,0.2
Image_4497,384,32,3,24,301,162,11.72,130,12.54,5,0.53,0.91,0.0,0.0,0.0
Image_4496,384,32,3,27,337,182,10.04,150,12.48,22,0.62,0.84,0.108,0.25,0.356
Image_4494,384,32,3,14,285,150,11.98,118,20.36,8,0.23,0.64,0.419,0.256,0.194
Image_4493,384,32,3,19,308,164,2.21,132,16.21,13,2.36,0.92,0.0,0.233,0.08
Image_4409,384,32,3,48,80,64,13.0,32,1.67,1,0.1,0.73,0.824,0.947,0.5
Image_4407,384,32,3,20,39,30,18.12,2,1.95,14,0.25,0.37,0.799,0.761,0.634
Image_4406,384,32,3,13,27,20,11.5,12,2.08,0,0.0,0.47,0.909,0.909,1.0
Image_4296,384,32,3,59,67,63,3.89,31,1.14,1,0.03,0.31,0.952,0.935,0.638
Image_4286,384,32,3,17,27,22,4.13,10,1.59,120,0.26,0.52,0.832,0.831,0.012
Image_4175,384,32,3,78,126,102,4.58,70,1.62,8,0.59,0.69,0.765,0.765,0.688
Image_4170,384,32,3,29,119,74,5.58,42,4.1,7,0.25,0.47,0.599,0.679,0.379
Image_4123,384,32,3,69,61,65,10.97,33,1.13,6,0.8,0.36,0.7,0.661,0.679
Image_4122,384,32,3,68,111,90,16.9,58,1.63,1,0.09,0.55,0.865,0.811,0.642
Image_4121,384,32,3,69,108,88,7.0,56,1.57,1,0.09,0.65,0.952,0.952,0.75
Image_4120,384,32,3,43,56,50,3.53,18,1.3,11,0.31,0.33,0.864,0.864,0.122
Image_4119,384,32,3,78,112,95,2.49,63,1.44,10,4.0,0.41,0.286,0.286,0.737
Image_4116,384,32,3,59,80,70,4.25,38,1.36,17,0.52,0.65,0.638,0.638,0.211
Image_4115,384,32,3,39,72,56,4.39,24,1.85,4,0.89,0.61,0.6,0.6,0.333
Image_4113,384,32,3,40,57,48,4.57,16,1.43,1,0.03,0.55,0.882,0.882,0.178
Image_4111,384,32,3,35,42,38,2.94,6,1.2,1,0.04,0.46,0.935,0.912,0.789
Image_4110,384,32,3,132,52,92,17.65,60,2.54,8,1.78,0.37,0.462,0.5,0.909
Image_4089,384,32,3,31,60,46,1.33,14,1.94,19,0.24,0.43,0.861,0.861,0.097
Image_4088,384,32,3,46,59,52,4.74,20,1.28,1,0.04,0.39,0.945,0.925,0.455
Image_4087,384,32,3,40,31,36,0.71,4,1.29,14,0.11,0.45,0.944,0.94,0.033
Image_4086,384,32,3,53,75,64,2.4,32,1.42,1,0.07,0.35,0.96,0.96,0.957
Image_4085,384,32,3,26,36,31,1.44,1,1.38,6,0.06,0.43,0.936,0.936,0.045
Image_4084,384,32,3,44,57,50,6.06,18,1.3,1,0.07,0.51,0.96,0.96,0.5
Image_4083,384,32,3,54,54,54,1.32,22,1.0,39,0.7,0.27,0.738,0.738,0.062
Image_4082,384,32,3,28,22,25,1.78,7,1.27,16,0.13,0.49,0.852,0.903,0.086
Image_4079,384,32,3,44,61,52,3.18,20,1.39,3,0.14,0.25,0.933,0.933,0.769
Image_4078,384,32,3,32,52,42,3.92,10,1.62,4,0.07,0.38,0.956,0.909,0.067
Image_4077,384,32,3,17,34,26,4.73,6,2.0,16,0.07,0.41,0.893,0.874,0.018
Image_4074,384,32,3,48,62,55,2.63,23,1.29,3,0.15,0.3,0.93,0.805,0.857
Image_4073,384,32,3,65,60,62,5.03,30,1.08,2,0.07,0.33,0.962,0.962,0.837
Image_4072,384,32,3,65,86,76,4.11,44,1.32,3,0.21,0.46,0.88,0.88,0.842
Image_4069,384,32,3,35,26,30,2.89,2,1.35,3,0.02,0.36,0.975,0.943,0.049
Image_4068,384,32,3,71,99,85,4.99,53,1.39,6,1.33,0.54,0.571,0.571,0.824
Image_4067,384,32,3,38,52,45,2.07,13,1.37,6,0.16,0.32,0.923,0.911,0.25
Image_4066,384,32,3,72,98,85,4.13,53,1.36,0,0.0,0.44,0.875,0.941,0.941
Image_4065,384,32,3,51,40,46,4.7,14,1.27,1,0.03,0.45,0.959,0.959,0.49
Image_4063,384,32,3,57,57,57,3.93,25,1.0,4,0.53,0.32,0.778,0.778,0.952
Image_4062,384,32,3,15,25,20,4.78,12,1.67,74,0.21,0.53,0.817,0.859,0.028
Image_3697,384,32,3,149,108,128,8.06,96,1.38,1,0.1,0.81,0.952,0.952,0.0
Image_3696,384,32,3,146,126,136,6.6,104,1.16,3,0.55,0.79,0.769,0.769,0.0
Image_3694,384,32,3,57,86,72,4.52,40,1.51,10,0.41,0.38,0.813,0.813,0.571
Image_3693,384,32,3,44,54,49,2.17,17,1.23,0,0.0,0.29,1.0,1.0,0.286
Image_3651,384,32,3,89,114,102,8.77,70,1.28,7,1.56,0.75,0.533,0.533,0.308
Image_3650,384,32,3,47,81,64,9.85,32,1.72,5,0.53,0.64,0.783,0.655,0.885
Image_3645,384,32,3,45,49,47,8.12,15,1.09,3,0.05,0.53,0.923,0.914,0.065
Image_3644,384,32,3,63,61,62,17.41,30,1.03,2,0.17,0.53,0.917,0.917,0.7
Image_3501,384,32,3,30,41,36,6.66,4,1.37,3,0.05,0.4,0.976,0.914,0.154
Image_3500,384,32,3,51,70,60,4.19,28,1.37,0,0.0,0.4,1.0,0.929,0.696
Image_3494,384,32,3,85,53,69,4.23,37,1.6,16,0.74,0.42,0.724,0.724,0.279
Image_3342,384,32,3,72,112,92,3.12,60,1.56,0,0.0,0.48,1.0,1.0,0.957
Image_3341,384,32,3,52,57,54,2.28,22,1.1,4,0.12,0.22,0.941,0.941,0.957
Image_3339,384,32,3,67,94,80,5.02,48,1.4,17,2.0,0.2,0.485,0.485,0.75
Image_3329,384,32,3,15,10,12,2.06,20,1.5,123,0.41,0.72,0.738,0.337,0.062
Image_3310,384,32,3,40,50,45,1.94,13,1.25,3,0.11,0.25,0.949,0.949,0.681
Image_3309,384,32,3,49,80,64,4.99,32,1.63,7,0.74,0.22,0.72,0.72,0.667
Image_3284,384,32,3,80,92,86,18.34,54,1.15,2,0.14,0.4,0.933,0.901,0.789
Image_3283,384,32,3,31,32,32,9.74,0,1.03,4,0.1,0.41,0.935,0.794,0.708
Image_3282,384,32,3,57,63,60,10.84,28,1.11,4,0.15,0.33,0.88,0.861,0.592
Image_3281,384,32,3,90,57,74,14.73,42,1.58,10,1.82,0.28,0.471,0.5,0.75
Image_3279,384,32,3,44,59,52,7.88,20,1.34,1,0.04,0.38,0.884,0.829,0.712
Image_3278,384,32,3,55,41,48,4.52,16,1.34,33,0.52,0.61,0.645,0.645,0.174
Image_3275,384,32,3,80,72,76,5.56,44,1.11,7,0.36,0.49,0.774,0.774,0.4
Image_3271,384,32,3,96,102,99,12.29,67,1.06,23,0.52,0.64,0.646,0.646,0.174
Image_3270,384,32,3,68,80,74,7.03,42,1.18,3,0.18,0.37,0.914,0.887,0.48
Image_3268,384,32,3,68,77,72,11.06,40,1.13,5,0.34,0.46,0.848,0.848,0.643
Image_3160,384,32,3,89,93,91,7.13,59,1.04,8,1.45,0.56,0.556,0.556,0.375
Image_2956,384,32,3,81,46,64,12.53,32,1.76,6,0.31,0.55,0.72,0.822,0.837
Image_2955,384,32,3,39,31,35,3.12,3,1.26,24,0.29,0.36,0.866,0.871,0.056
Image_2954,384,32,3,47,78,62,0.88,30,1.66,7,0.15,0.48,0.784,0.831,0.417
Image_2952,384,32,3,28,59,44,3.1,12,2.11,22,0.48,0.28,0.796,0.804,0.537
Image_2951,384,32,3,39,68,54,1.05,22,1.74,7,0.93,0.22,0.667,0.632,0.833
Image_2949,384,32,3,87,37,62,2.86,30,2.35,1,0.04,0.44,0.837,0.958,0.737
Image_2948,384,32,3,80,78,79,3.24,47,1.03,7,1.56,0.37,0.533,0.533,0.842
Image_2947,384,32,3,51,60,56,1.97,24,1.18,9,0.2,0.38,0.875,0.889,0.56
Image_2946,384,32,3,72,63,68,12.06,36,1.14,4,0.47,0.4,0.8,0.8,0.8
Image_2945,384,32,3,75,52,64,1.33,32,1.44,0,0.0,0.48,1.0,1.0,0.923
Image_2944,384,32,3,37,59,48,7.86,16,1.59,25,0.57,0.31,0.768,0.775,0.538
Image_2943,384,32,3,58,60,59,1.65,27,1.03,10,0.51,0.36,0.792,0.792,0.926
Image_2942,384,32,3,48,48,48,1.03,16,1.0,11,0.76,0.19,0.718,0.699,0.98
Image_2941,384,32,3,86,82,84,10.9,52,1.05,8,0.84,0.57,0.664,0.692,0.522
Image_2939,384,32,3,24,32,28,4.29,4,1.33,17,0.48,0.36,0.805,0.775,0.53
Image_2938,384,32,3,79,68,74,15.61,42,1.16,1,0.12,0.64,0.734,0.941,0.714
Image_2937,384,32,3,44,44,44,12.12,12,1.0,13,0.2,0.37,0.869,0.896,0.207
Image_2936,384,32,3,84,54,69,12.91,37,1.56,12,1.04,0.41,0.647,0.647,0.978
Image_2935,384,32,3,83,41,62,2.41,30,2.02,6,0.8,0.38,0.661,0.7,0.723
Image_2933,384,32,3,53,36,44,10.11,12,1.47,38,0.46,0.55,0.703,0.703,0.23
Image_2932,384,32,3,94,54,74,11.58,42,1.74,12,0.89,0.34,0.665,0.684,0.837
Image_2931,384,32,3,59,49,54,26.1,22,1.2,19,0.3,0.53,0.796,0.796,0.546
Image_2930,384,32,3,35,46,40,4.48,8,1.31,5,0.09,0.47,0.922,0.957,0.494
Image_2929,384,32,3,37,35,36,2.45,4,1.06,26,0.5,0.38,0.797,0.797,0.099
Image_2927,384,32,3,30,46,38,4.29,6,1.53,1,0.02,0.42,0.734,0.837,0.571
Image_2926,384,32,3,94,53,74,6.51,42,1.77,8,0.48,0.35,0.8,0.8,0.979
Image_2924,384,32,3,47,45,46,2.54,14,1.04,15,0.38,0.25,0.839,0.839,0.633
Image_2923,384,32,3,53,34,44,8.82,12,1.56,49,1.31,0.32,0.602,0.602,0.362
Image_2922,384,32,3,75,66,70,14.52,38,1.14,3,0.18,0.35,0.914,0.914,0.848
Image_2921,384,32,3,67,55,61,12.4,29,1.22,9,0.49,0.32,0.8,0.8,0.851
Image_2920,384,32,3,40,79,60,10.44,28,1.98,2,0.13,0.64,0.889,0.696,0.554
Image_2918,384,32,3,47,49,48,1.7,16,1.04,19,0.43,0.55,0.725,0.725,0.554
Image_2916,384,32,3,17,18,18,2.78,14,1.06,55,0.37,0.51,0.838,0.82,0.037
Image_2915,384,32,3,45,48,46,3.97,14,1.07,20,0.48,0.35,0.796,0.804,0.329
Image_2914,384,32,3,33,76,54,3.09,22,2.3,12,0.73,0.15,0.71,0.71,0.809
Image_2913,384,32,3,69,72,70,7.9,38,1.04,12,3.43,0.52,0.333,0.333,0.421
Image_2912,384,32,3,34,36,35,1.03,3,1.06,10,0.16,0.37,0.925,0.925,0.531
Image_2910,384,32,3,49,177,113,1.35,81,3.61,5,0.53,0.61,0.783,0.746,0.783
Image_2908,384,32,3,44,53,48,4.41,16,1.2,1,0.03,0.35,0.846,0.985,0.881
Image_2248,384,32,3,38,56,47,2.96,15,1.47,8,0.13,0.38,0.92,0.92,0.441
Image_2225,384,32,3,94,109,102,13.89,70,1.16,5,0.34,0.49,0.848,0.848,0.643
Image_2209,384,32,3,100,148,124,8.56,92,1.48,4,0.53,0.6,0.778,0.778,0.429
Image_2203,384,32,3,64,100,82,8.41,50,1.56,11,0.96,0.37,0.667,0.645,0.514
Image_2195,384,32,3,122,115,118,8.88,86,1.06,2,0.17,0.7,0.917,0.917,0.471
Image_2177,384,32,3,79,128,104,7.82,72,1.62,6,0.28,0.42,0.856,0.856,0.683
Image_2165,384,32,3,81,104,92,3.98,60,1.28,5,0.17,0.48,0.863,0.863,0.154
Image_2155,384,32,3,101,95,98,3.77,66,1.06,0,0.0,0.63,0.941,0.875,0.286
Image_2152,384,32,3,72,127,100,26.52,68,1.76,8,0.55,0.42,0.778,0.778,0.411
