,image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mre,qual_score,mae,score
105,Image_4954,384,24,3,43,66,54,9.37,30,1.53,0.04,0.55,1.0,0.7
106,Image_4953,384,24,3,30,52,41,7.53,17,1.73,0.26,0.49,18.0,0.3
107,Image_4952,384,24,3,19,23,21,3.12,3,1.21,0.07,0.52,19.0,0.1
108,Image_4951,384,24,3,22,19,20,3.11,4,1.16,0.08,0.62,14.0,0.1
109,Image_4950,384,24,3,41,54,48,11.93,24,1.32,0.35,0.55,17.0,0.2
110,Image_4949,384,24,3,24,35,30,3.76,6,1.46,0.23,0.57,28.0,0.35
111,Image_4948,384,24,3,81,140,110,17.37,86,1.73,0.8,0.66,8.0,0.7
112,Image_4947,384,24,3,20,35,28,3.65,4,1.75,0.21,0.5,53.0,0.1
113,Image_4946,384,24,3,40,56,48,12.03,24,1.4,0.26,0.49,25.0,0.3
114,Image_4945,384,24,3,33,44,38,1.26,14,1.33,0.23,0.53,12.0,0.3
115,Image_4944,384,24,3,24,32,28,4.51,4,1.33,0.18,0.57,11.0,0.35
116,Image_4943,384,24,3,42,64,53,2.46,29,1.52,0.29,0.52,26.0,0.4
117,Image_4942,384,24,3,49,78,64,2.21,40,1.59,0.12,0.4,6.0,0.25
118,Image_4941,384,24,3,31,42,36,3.71,12,1.35,0.08,0.36,15.0,0.2
119,Image_4940,384,24,3,53,98,76,5.22,52,1.85,0.31,0.51,14.0,0.35
120,Image_4939,384,24,3,70,95,82,16.33,58,1.36,0.13,0.54,3.0,0.35
121,Image_4938,384,24,3,26,51,38,9.32,14,1.96,0.18,0.54,13.0,0.4
122,Image_4933,384,24,3,77,59,68,8.67,44,1.31,0.45,0.56,44.0,0.4
123,Image_4924,384,24,3,36,59,48,4.56,24,1.64,0.23,0.54,20.0,0.2
124,Image_4923,384,24,3,39,59,49,4.47,25,1.51,0.18,0.5,7.0,0.2
125,Image_4908,384,24,3,42,74,58,7.45,34,1.76,0.2,0.41,4.0,0.25
126,Image_4904,384,24,3,60,86,73,9.72,49,1.43,0.38,0.34,3.0,0.1
127,Image_4903,384,24,3,56,73,64,3.09,40,1.3,0.38,0.53,11.0,0.3
128,Image_4885,384,24,3,51,41,46,6.71,22,1.24,0.31,0.81,5.0,0.5
129,Image_4875,384,24,3,57,74,66,4.85,42,1.3,0.6,0.68,60.0,0.3
130,Image_4874,384,24,3,43,66,54,5.17,30,1.53,0.47,0.57,60.0,0.2
131,Image_4502,384,24,3,23,312,168,3.28,144,13.57,0.46,0.68,18.0,0.9
132,Image_4501,384,24,3,20,321,170,5.21,146,16.05,0.0,0.78,0.0,0.9
133,Image_4500,384,24,3,44,351,198,8.12,174,7.98,7.0,1.56,7.0,1.0
134,Image_4497,384,24,3,24,301,162,11.72,138,12.54,0.59,0.83,20.0,0.8
135,Image_4496,384,24,3,27,337,182,10.04,158,12.48,0.76,0.88,41.0,1.0
136,Image_4494,384,24,3,14,285,150,11.98,126,20.36,0.59,0.73,38.0,0.9
137,Image_4493,384,24,3,19,308,164,2.21,140,16.21,0.2,0.75,3.0,0.7
138,Image_4409,384,24,3,48,80,64,13.0,40,1.67,0.18,0.92,2.0,0.9
139,Image_4407,384,24,3,20,39,30,18.12,6,1.95,0.35,0.35,18.0,0.5
140,Image_4406,384,24,3,13,27,20,11.5,4,2.08,0.2,0.59,2.0,0.3
141,Image_4296,384,24,3,59,67,63,3.89,39,1.14,0.35,0.5,17.0,0.3
142,Image_4286,384,24,3,17,27,22,4.13,2,1.59,0.15,0.49,57.0,0.1
143,Image_4175,384,24,3,78,126,102,4.58,78,1.62,0.25,0.75,7.0,0.4
144,Image_4170,384,24,3,29,119,74,5.58,50,4.1,0.26,0.56,12.0,0.4
145,Image_4123,384,24,3,69,61,65,10.97,41,1.13,0.07,0.45,1.0,0.6
146,Image_4122,384,24,3,68,111,90,16.9,66,1.63,0.45,0.66,9.0,0.8
147,Image_4121,384,24,3,69,108,88,7.0,64,1.57,0.57,0.72,13.0,0.8
148,Image_4120,384,24,3,43,56,50,3.53,26,1.3,0.26,0.52,16.0,0.6
149,Image_4119,384,24,3,78,112,95,2.49,71,1.44,1.4,0.53,7.0,0.6
150,Image_4116,384,24,3,59,80,70,4.25,46,1.36,0.46,0.6,13.0,0.5
151,Image_4115,384,24,3,39,72,56,4.39,32,1.85,0.2,0.75,2.0,0.7
152,Image_4113,384,24,3,40,57,48,4.57,24,1.43,0.49,0.69,35.0,0.5
153,Image_4111,384,24,3,35,42,38,2.94,14,1.2,0.25,0.61,8.0,0.6
154,Image_4110,384,24,3,132,52,92,17.65,68,2.54,0.2,0.57,3.0,0.3
155,Image_4089,384,24,3,31,60,46,1.33,22,1.94,0.38,0.5,36.0,0.5
156,Image_4088,384,24,3,46,59,52,4.74,28,1.28,0.42,0.58,20.0,0.7
157,Image_4087,384,24,3,40,31,36,0.71,12,1.29,0.22,0.48,34.0,0.2
158,Image_4086,384,24,3,53,75,64,2.4,40,1.42,0.14,0.45,2.0,0.4
159,Image_4085,384,24,3,26,36,31,1.44,7,1.38,0.19,0.51,20.0,0.2
160,Image_4084,384,24,3,44,57,50,6.06,26,1.3,0.43,0.64,9.0,0.5
161,Image_4083,384,24,3,54,54,54,1.32,30,1.0,0.15,0.38,12.0,0.4
162,Image_4082,384,24,3,28,22,25,1.78,1,1.27,0.12,0.49,15.0,0.4
163,Image_4079,384,24,3,44,61,52,3.18,28,1.39,0.14,0.39,4.0,0.3
164,Image_4078,384,24,3,32,52,42,3.92,18,1.62,0.17,0.47,12.0,0.35
165,Image_4077,384,24,3,17,34,26,4.73,2,2.0,0.01,0.4,3.0,0.1
166,Image_4074,384,24,3,48,62,55,2.63,31,1.29,0.26,0.45,8.0,0.5
167,Image_4073,384,24,3,65,60,62,5.03,38,1.08,0.34,0.45,13.0,0.3
168,Image_4072,384,24,3,65,86,76,4.11,52,1.32,0.15,0.45,2.0,0.3
169,Image_4069,384,24,3,35,26,30,2.89,6,1.35,0.17,0.43,24.0,0.2
170,Image_4068,384,24,3,71,99,85,4.99,61,1.39,0.33,0.59,5.0,0.6
171,Image_4067,384,24,3,38,52,45,2.07,21,1.37,0.21,0.49,11.0,0.3
