object,size,image_name,method,precision,recall,f1_score,computation_time
Small_nails_23,28,Image_7,otm,0.787,0.648,0.711,1.875
Small_nails_23,28,Image_8,otm,0.797,0.67,0.728,2.414
Small_nails_23,28,Image_9,otm,0.868,0.742,0.8,1.743
Small_nails_23,384,Image_0,otm,0.947,0.818,0.878,1.36
Small_nails_23,384,Image_1,otm,1.0,1.0,1.0,1.207
Small_nails_23,384,Image_10,otm,0.818,0.9,0.857,1.17
Small_nails_23,384,Image_2,otm,0.867,0.765,0.812,1.222
Small_nails_23,384,Image_3,otm,0.857,0.857,0.857,1.215
Small_nails_23,384,Image_4,otm,0.952,1.0,0.976,1.259
Small_nails_23,384,Image_5,otm,0.95,0.905,0.927,1.383
Small_nails_23,384,Image_6,otm,0.923,0.857,0.889,1.214
Small_nails_23,384,Image_7,otm,1.0,0.9,0.947,1.218
Small_nails_23,384,Image_8,otm,1.0,1.0,1.0,1.174
Small_nails_23,384,Image_9,otm,1.0,1.0,1.0,1.176
Small_nails_23,45,Image_0,otm,0.933,0.737,0.824,1.451
Small_nails_23,45,Image_1,otm,0.879,0.853,0.866,1.278
Small_nails_23,45,Image_10,otm,0.903,0.903,0.903,1.436
Small_nails_23,45,Image_2,otm,0.867,0.839,0.852,1.326
Small_nails_23,45,Image_3,otm,0.921,0.817,0.866,1.712
Small_nails_23,45,Image_4,otm,0.971,0.971,0.971,1.435
Small_nails_23,45,Image_5,otm,0.879,0.935,0.906,1.591
Small_nails_23,45,Image_6,otm,0.886,0.886,0.886,1.409
Small_nails_23,45,Image_7,otm,0.968,0.938,0.952,1.431
Small_nails_23,45,Image_8,otm,0.897,0.929,0.912,1.527
Small_nails_23,45,Image_9,otm,0.821,0.821,0.821,1.298
Small_nails_23,68,Image_0,otm,0.833,0.795,0.814,1.395
Small_nails_23,68,Image_1,otm,0.842,0.8,0.821,1.668
Small_nails_23,68,Image_10,otm,0.914,0.914,0.914,1.485
Small_nails_23,68,Image_2,otm,0.909,0.93,0.92,1.507
Small_nails_23,68,Image_3,otm,0.875,0.848,0.862,1.399
Small_nails_23,68,Image_4,otm,0.875,0.875,0.875,1.318
Small_nails_23,68,Image_5,otm,0.946,0.854,0.897,1.35
Small_nails_23,68,Image_6,otm,0.903,0.848,0.875,1.261
Small_nails_23,68,Image_7,otm,0.966,0.903,0.933,1.331
Small_nails_23,68,Image_8,otm,0.929,0.897,0.912,1.213
Small_nails_23,68,Image_9,otm,0.935,0.906,0.921,1.343
Small_nails_32,28,Image_0,otm,0.738,0.49,0.589,1.721
Small_nails_32,28,Image_1,otm,0.969,0.653,0.78,1.513
Small_nails_32,28,Image_10,otm,0.716,0.589,0.646,1.997
Small_nails_32,28,Image_2,otm,0.984,0.526,0.685,1.705
Small_nails_32,28,Image_3,otm,0.724,0.604,0.659,1.823
Small_nails_32,28,Image_4,otm,0.794,0.557,0.655,1.757
Small_nails_32,28,Image_5,otm,0.913,0.663,0.768,2.769
Small_nails_32,28,Image_6,otm,0.844,0.707,0.769,2.096
