image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score
Image_349,384,32,3,51,100,76,2.28,44,1.96,13,0.49,0.43
Image_342,384,32,3,49,64,56,21.39,24,1.31,18,0.4,0.47
Image_336,384,32,3,35,45,40,4.14,8,1.29,183,0.92,0.95
Image_330,384,32,3,84,111,98,8.1,66,1.32,14,0.35,0.6
Image_317,384,32,3,16,25,20,3.57,12,1.56,4,0.38,0.54
Image_313,384,32,3,83,125,104,10.78,72,1.51,8,0.25,0.55
Image_293,384,32,3,45,72,58,6.54,26,1.6,3,0.07,0.41
Image_291,384,32,3,54,99,76,11.11,44,1.83,7,0.93,0.48
Image_286,384,32,3,53,87,70,13.14,38,1.64,1,0.09,0.48
Image_2,384,32,3,50,82,66,1.94,34,1.64,1,0.13,0.46
Image_7645,384,48,3,43,145,94,5.91,46,3.37,17,0.54,0.78
Image_7095,384,48,3,35,116,76,3.4,28,3.31,26,0.34,0.57
Image_7661,384,48,3,30,41,36,3.7,12,1.37,16,0.3,0.51
Image_7662,384,48,3,47,35,41,3.97,7,1.34,6,0.16,0.48
Image_6661,384,48,3,11,12,12,0.71,36,1.09,62,0.2,0.68
Image_6660,384,48,3,279,30,154,2.16,106,9.3,15,0.59,0.85
Image_6659,384,48,3,40,323,182,2.49,134,8.07,6,0.39,0.77
Image_6658,384,48,3,15,9,12,1.7,36,1.67,29,0.07,0.69
Image_6657,384,48,3,25,25,25,7.83,23,1.0,39,0.46,0.44
Image_6656,384,48,3,29,30,30,2.13,18,1.03,12,0.14,0.36
Image_6655,384,48,3,9,73,41,1.47,7,8.11,174,2.62,0.4
Image_6653,384,48,3,17,21,19,1.48,29,1.24,38,0.11,0.53
Image_6652,384,48,3,41,79,60,1.73,12,1.93,8,0.31,0.31
Image_6651,384,48,3,40,151,96,5.4,48,3.77,6,0.44,0.75
Image_6650,384,48,3,75,90,82,4.31,34,1.2,14,2.15,0.28
Image_6649,384,48,3,17,46,32,18.54,16,2.71,12,0.12,0.45
Image_6648,384,48,3,20,19,20,1.09,28,1.05,7,0.13,0.65
Image_6645,384,48,3,34,32,33,2.78,15,1.06,3,0.09,0.34
