image_name,resized_size,patch_size,Avg_ref_h,Avg_ref_z,mean_box_size,diff_patch_mbs,mae, score
Image_2007,384,64,41,36,38,26,57,0.7
Image_2005,384,64,31,24,28,36,136,0.8
Image_2004,384,64,35,22,28,36,174,0.8
Image_1493,384,64,17,28,22,42,49,0.3
Image_1463,384,64,31,37,34,30,0,0.9
Image_1461,384,64,15,23,19,45,50,0.7
Image_1456,384,64,15,21,18,46,28,0.8
Image_1130,384,64,15,10,12,52,55,0.1
Image_1106,384,64,31,28,30,34,25,0.2
Image_998,384,64,34,42,38,26,5,0.2
Image_996,384,64,59,78,68,4,1,0.7
Image_993,384,64,59,75,67,3,1,0.5
Image_991,384,64,18,29,24,40,70,0.4
Image_990,384,64,19,27,23,41,58,0.2
Image_989,384,64,27,82,54,10,6,0.5
Image_988,384,64,57,114,86,22,10,0.5
Image_985,384,64,30,46,38,26,19,0.3
Image_907,384,64,48,125,86,22,25,0.1
Image_906,384,64,13,28,20,44,55,0.3
Image_701,384,64,40,73,56,8,10,0.5
Image_693,384,64,61,84,72,8,2,0.7
Image_680,384,64,53,145,99,35,3,0.3
Image_349,384,64,51,100,76,12,4,0.4
Image_342,384,64,49,64,56,8,1,0.3
Image_336,384,64,35,45,40,24,101,0.1
Image_330,384,64,84,111,98,34,13,0.7
Image_317,384,64,16,25,20,44,22,0.1
Image_313,384,64,83,125,104,40,30,0.7
Image_293,384,64,45,72,58,6,9,0.8
Image_291,384,64,54,99,76,12,8,0.4
Image_286,384,64,53,87,70,6,6,0.5
Image_2,384,64,50,82,66,2,6,0.1
