image_name,resized_size,patch_size,Avg_ref_h,Avg_ref_z,mean_box_size,diff_patch_mbs,mae, score
Image_985,384,24,30,46,38,14,22,0.4
Image_907,384,24,48,125,86,62,33,0.1
Image_906,384,24,13,28,20,4,154,0.0
Image_701,384,24,40,73,56,32,25,0.7
Image_693,384,24,61,84,72,48,8,0.8
Image_680,384,24,53,145,99,75,2,0.6
Image_349,384,24,51,100,76,52,28,0.6
Image_342,384,24,49,64,56,32,22,0.5
Image_336,384,24,35,45,40,16,145,0.0
Image_330,384,24,84,111,98,74,52,0.5
Image_317,384,24,16,25,20,4,1,0.7
Image_313,384,24,83,125,104,80,42,0.7
Image_293,384,24,45,72,58,34,38,0.6
Image_291,384,24,54,99,76,52,4,0.4
Image_286,384,24,53,87,70,46,11,0.3
Image_2,384,24,50,82,66,42,2,0.7
Image_7645,384,32,43,145,94,62,6,0.7
Image_7095,384,32,35,116,76,44,0,0.75
Image_7661,384,32,30,41,36,4,8,0.7
Image_7662,384,32,47,35,41,9,4,0.8
Image_6661,384,32,11,12,12,20,1,0.65
Image_6660,384,32,279,30,154,122,1,0.6
Image_6659,384,32,40,323,182,150,5,0.4
Image_6658,384,32,15,9,12,20,79,0.8
Image_6657,384,32,25,25,25,7,33,0.6
Image_6656,384,32,29,30,30,2,8,0.9
Image_6655,384,32,9,73,41,9,99,0.3
Image_6653,384,32,17,21,19,13,89,0.8
Image_6652,384,32,41,79,60,28,9,0.8
Image_6651,384,32,40,151,96,64,9,0.3
Image_6650,384,32,75,90,82,50,9,0.5
Image_6649,384,32,17,46,32,0,8,0.75
Image_6648,384,32,20,19,20,12,6,0.6
Image_6645,384,32,34,32,33,1,5,1.0
Image_6644,384,32,6,12,9,23,13,0.85
Image_5944,384,32,40,57,48,16,3,0.6
Image_5940,384,32,78,79,78,46,8,0.4
Image_5939,384,32,83,133,108,76,4,0.5
Image_5938,384,32,57,88,72,40,5,0.6
Image_5936,384,32,54,69,62,30,2,0.75
Image_5934,384,32,61,84,72,40,11,0.65
Image_5933,384,32,79,44,62,30,6,0.6
Image_5932,384,32,99,64,82,50,1,0.85
Image_5931,384,32,86,137,112,80,7,0.1
Image_5930,384,32,65,71,68,36,7,0.4
Image_5929,384,32,32,57,44,12,10,0.9
Image_5926,384,32,42,73,58,26,2,0.6
Image_5925,384,32,138,98,118,86,1,0.75
Image_5924,384,32,101,103,102,70,8,0.5
Image_5923,384,32,81,68,74,42,9,0.4
Image_5922,384,32,26,36,31,1,16,0.3
Image_5921,384,32,51,76,64,32,0,0.7
Image_5918,384,32,72,53,62,30,0,0.65
Image_5917,384,32,53,74,64,32,4,0.7
Image_5915,384,32,49,56,52,20,3,0.6
Image_5602,384,32,54,74,64,32,5,0.4
Image_5601,384,32,54,74,64,32,7,0.4
