object,size,image_name,method,precision,recall,f1_score,computation_time
Nails_23,68,Image_8,otm,0.833,0.543,0.658,8.429
Nails_23,68,Image_8,gmms,0.9,0.587,0.711,26.899
Nails_23,68,Image_8,hdbscan,0.867,0.283,0.426,26.74
Nails_23,68,Image_9,otm,0.58,0.592,0.586,31.402
Nails_23,68,Image_9,gmms,0.56,0.571,0.566,48.673
Nails_23,68,Image_9,hdbscan,0.6,0.122,0.203,41.881
Nails_32,28,Image_0_30,otm,0.636,0.521,0.573,284.708
Nails_32,28,Image_0_30,gmms,0.631,0.517,0.569,238.885
Nails_32,28,Image_0_30,hdbscan,0.75,0.021,0.041,134.115
Nails_32,28,Image_1,otm,0.358,0.933,0.518,469.791
Nails_32,28,Image_1,gmms,0.374,0.976,0.541,279.01
Nails_32,28,Image_1,hdbscan,0.333,0.018,0.034,148.161
Nails_32,28,Image_10,otm,0.67,0.828,0.74,325.578
Nails_32,28,Image_10,gmms,0.647,0.799,0.715,363.662
Nails_32,28,Image_10,hdbscan,0.333,0.006,0.011,277.065
Nails_32,28,Image_2,otm,0.879,0.628,0.733,266.394
Nails_32,28,Image_2,gmms,0.854,0.611,0.713,225.488
Nails_32,28,Image_2,hdbscan,0.167,0.003,0.007,112.505
Nails_32,28,Image_3,otm,0.896,0.659,0.759,163.646
Nails_32,28,Image_3,gmms,0.903,0.665,0.766,153.746
Nails_32,28,Image_3,hdbscan,1.0,0.011,0.022,123.521
Nails_32,384,Image_0_30,otm,0.75,0.429,0.545,7.37
Nails_32,384,Image_0_30,gmms,0.917,0.524,0.667,11.223
Nails_32,384,Image_0_30,hdbscan,1.0,0.333,0.5,16.074
Nails_32,384,Image_1,otm,0.244,1.0,0.393,97.977
Nails_32,384,Image_1,gmms,0.244,1.0,0.393,82.83
Nails_32,384,Image_1,hdbscan,1.0,0.045,0.087,77.406
Nails_32,384,Image_10,otm,0.867,0.52,0.65,11.106
Nails_32,384,Image_10,gmms,0.933,0.56,0.7,22.448
Nails_32,384,Image_10,hdbscan,0.857,0.24,0.375,24.366
Nails_32,384,Image_2,otm,0.706,0.571,0.632,9.23
Nails_32,384,Image_2,gmms,0.706,0.571,0.632,28.057
Nails_32,384,Image_2,hdbscan,1.0,0.238,0.385,31.158
Nails_32,384,Image_3,otm,0.778,0.667,0.718,9.228
Nails_32,384,Image_3,gmms,0.833,0.714,0.769,29.818
Nails_32,384,Image_3,hdbscan,0.875,0.333,0.483,34.707
Nails_32,384,Image_4,otm,0.667,0.545,0.6,11.512
Nails_32,384,Image_4,gmms,0.944,0.773,0.85,27.176
Nails_32,384,Image_4,hdbscan,0.75,0.273,0.4,30.177
Nails_32,384,Image_5,otm,0.581,0.783,0.667,27.245
Nails_32,384,Image_5,gmms,0.516,0.696,0.593,59.356
Nails_32,384,Image_5,hdbscan,0.6,0.13,0.214,61.446
Nails_32,384,Image_6,otm,0.444,0.348,0.39,10.887
Nails_32,384,Image_6,gmms,0.444,0.348,0.39,23.776
Nails_32,384,Image_6,hdbscan,0.583,0.304,0.4,24.923
Nails_32,384,Image_7,otm,0.472,0.81,0.596,24.316
Nails_32,384,Image_7,gmms,0.417,0.714,0.526,81.386
Nails_32,384,Image_7,hdbscan,0.6,0.143,0.231,80.871
Nails_32,384,Image_8,otm,0.786,0.5,0.611,8.641
Nails_32,384,Image_8,gmms,0.786,0.5,0.611,18.831
Nails_32,384,Image_8,hdbscan,0.714,0.227,0.345,22.188
Nails_32,384,Image_9,otm,0.435,0.435,0.435,15.968
Nails_32,384,Image_9,gmms,0.478,0.478,0.478,26.351
Nails_32,384,Image_9,hdbscan,0.667,0.348,0.457,26.41
Nails_32,45,Image_0_30,otm,0.517,0.441,0.476,51.904
Nails_32,45,Image_0_30,gmms,0.621,0.529,0.571,45.024
Nails_32,45,Image_0_30,hdbscan,0.833,0.074,0.135,36.305
Nails_32,45,Image_1,otm,0.371,0.903,0.526,133.02
Nails_32,45,Image_1,gmms,0.397,0.968,0.563,107.521
Nails_32,45,Image_1,hdbscan,0.6,0.048,0.09,78.807
Nails_32,45,Image_10,otm,0.5,0.829,0.624,167.579
Nails_32,45,Image_10,gmms,0.471,0.78,0.587,217.136
Nails_32,45,Image_10,hdbscan,0.333,0.024,0.045,183.749
Nails_32,45,Image_2,otm,0.588,0.735,0.654,117.489
Nails_32,45,Image_2,gmms,0.647,0.809,0.719,224.081
Nails_32,45,Image_2,hdbscan,0.571,0.059,0.107,201.088
Nails_32,45,Image_3,otm,0.881,0.743,0.806,68.483
Nails_32,45,Image_3,gmms,0.915,0.771,0.837,121.39
Nails_32,45,Image_3,hdbscan,0.75,0.043,0.081,115.631
Nails_32,45,Image_4,otm,0.504,0.889,0.643,185.007
Nails_32,45,Image_4,gmms,0.472,0.833,0.603,188.406
Nails_32,45,Image_4,hdbscan,1.0,0.042,0.08,153.326
Nails_32,45,Image_5,otm,0.563,0.806,0.663,116.568
Nails_32,45,Image_5,gmms,0.466,0.667,0.549,205.601
Nails_32,45,Image_5,hdbscan,0.25,0.014,0.026,148.431
Nails_32,45,Image_6,otm,0.524,0.73,0.61,112.761
Nails_32,45,Image_6,gmms,0.524,0.73,0.61,174.981
Nails_32,45,Image_6,hdbscan,0.25,0.014,0.026,148.757
Nails_32,45,Image_7,otm,0.557,0.794,0.655,106.665
Nails_32,45,Image_7,gmms,0.557,0.794,0.655,108.288
Nails_32,45,Image_7,hdbscan,0.556,0.074,0.13,90.063
Nails_32,45,Image_8,otm,0.478,0.809,0.601,140.216
